,Numb #,KEYWORD,TERM,CATEGORY,MEANING,EXAMPLES IN SENTENCES,NOTES
,272,CABBAGE TREE,cabbage tree,GENERAL NZ,native tree,Meet by the cabbage tree.,
,273,CACK,cack,GENERAL NZ,laugh,We were cacking ourselves.,
,274,CACKED,cacked,GENERAL NZ,laughed,We cacked at that joke.,
,275,CACKING,cacking,GENERAL NZ,laughing,We were cacking all night.,
,276,CACKHANDED,cackhanded,GENERAL NZ,"clumsy, left handed",He’s a bit cackhanded and clumsy as well.,
,277,CACKLE,cackle,GENERAL NZ,laugh loudly,She cackled at the joke.,
,278,CACKLES,cackles,GENERAL NZ,loud laughs,Her cackles echoed.,
,279,CACKY,cacky,GENERAL NZ,"messy, dirty",That room is cacky.,
,280,CAGEY,cagey,GENERAL NZ,secretive,He’s being cagey and won't tell anyone about it yet.,
,281,CAKE,cake,TEEN,easy,That test was peice of cake.,
,282,CAKED,caked,TEEN,covered,His shoes were caked in mud.,
,283,CAKING,caking,TEEN,applying makeup,She was caking it on.,
,284,CALLED OUT,called out,TEEN,challenged,He got called out in class.,
,285,CALLING,calling,TEEN,teasing,They were calling him names.,
,286,CALM,calm,TEEN,relaxed,"Stay calm, bro.",
,287,CALM AS,calm as,TEEN,very relaxed,He was calm as.,
,288,CAMEO,cameo,TEEN,short appearance,He made a cameo in the vid. that was about him.,
,289,CAMP,cāmp,TEEN,"over the top,  possibly like person",That outfit is camp.  He is teased for dressing camp.,
,290,CAN,can,GENERAL NZ,toilet,Use the can before we go.,
,291,CANNED,canned,GENERAL NZ,cancelled,The trip got canned.,
,293,CANNONBALL,cannonball,TEEN,water jump,He did a cannonball into the pool and splashed all the watchers.,
,294,CANTER,canter,GENERAL NZ,easy pace,"We walked at a canter, mush faster than us.",
,296,CAPPED,capped,TEEN,lied,He capped about it as it is not true.,
,298,CAPTAIN,captain,GENERAL NZ,leader,He’s the captain of our group today.,
,299,CARB,carb,GENERAL NZ,carbohydrate,Cut down on carbs to get thinner.,
,300,CARDED,carded,GENERAL NZ,asked for ID,I got carded at the bottle store.,
,301,CAREER,career,TEEN,move fast,He careered down the hill.,
,302,CARGO,cargo,TEEN,baggy pants,He’s wearing cargos and has something in every pocket!,
,303,CARNAGE,carnage,GENERAL NZ,mess,The room was carnage.,
,305,CARRY,cārry,TEEN,perform for team,He carried the whole squad and was our MVP .,
,308,CASUAL AS,casual as,TEEN,very relaxed,She’s casual as today.,
,309,CAT,cat,TEEN,person,He’s a weird cat.   She is a hip cat with trendy clothes.,
,310,CATCH UP,catch up,GENERAL NZ,meet,Let’s catch up later.,
,311,CATCHING,catching,TEEN,becoming popular,That trend is catching.,
,312,CATCHY,catchy,GENERAL NZ,memorable,That song is catchy.,
,313,CATTY,catty,GENERAL NZ,snide,She made a catty remark.,
,314,CAUSE,cause,TEEN,because,I’m late cause the bus broke.,
,315,CAVEMAN,caveman,GENERAL NZ,rough person,He’s a caveman sometimes.,
,316,CBA,cba,TEEN,can’t be arsed,I cba doing homework.,
,317,CBD,CBD,GENERAL NZ,city centre,Meet in the CBD at 2pm.,
,318,CELEB,celeb,GENERAL NZ,celebrity,She’s a celeb now so wont speak to people like us!,
,319,CELLY,celly,TEEN,celebration,That was a sick celly.,
,320,CEMENT,"cement, cemented, cementing",GENERAL NZ,confirm,"It is decided so cement it in, bro.  The exhibition dates were cemented in months ago.",
,323,CENTRE,centre,GENERAL NZ,middle,"Stand in the centre of the circle,",
,324,CHA,cha,TEEN,yes,"Cha, that’s good.",
,325,CHAD,chad,TEEN,confident guy,He’s a total chad.,
,326,CHAFF,chaff,GENERAL NZ,tease,Don’t chaff him he can't help it.,
,327,CHAFFING,chaffing,GENERAL NZ,teasing,They were chaffing him.,
,328,CHAIN,chain,TEEN,necklace,"Nice chain, bro.",
,329,CHAINED,chained,TEEN,wearing jewellery,He’s chained up today.,
,331,CHALK,chalk,GENERAL NZ,"write, Accept event",Chalk it up to experience. It cant be helped now.,
,332,CHALKED,chalked,GENERAL NZ,written,It’s chalked on the board.,
,344,CHALKY,chalky,GENERAL NZ,powdery,The track was chalky today so there was a lot of dust.,
,345,CHAMP,champ,GENERAL NZ,mate,"Good on ya, champ.",
,346,CHAMPION,champion,GENERAL NZ,excellent,That was champion effort very good indeed.,
,347,CHANCE,chance,TEEN,opportunity,"Give me a chance, bro.",
,348,CHANCING,chancing,TEEN,taking a risk,He’s chancing it again.,
,349,CHANGE UP,change up,TEEN,switch style,Time to change up the plan.,
,350,CHAOS,"chaos,  chaotic",GENERAL NZ,mess,The room was in chaos Extremely untidy.,
,352,CHAP,chap,GENERAL NZ,man,He’s a decent chap.,
,354,CHAR,char,GENERAL NZ,burn,Don’t char the sausages.,
,355,CHARLIE,charlie,GENERAL NZ,fool,Don’t be a charlie.,
,356,CHARMED,charmed,GENERAL NZ,lucky,He’s living a charmed life.,
,358,CHAT,chat|chatting|chatty,TEEN,talk,They were chatting about the party last night.,
,359,CHEAP,cheap,GENERAL NZ,stingy,"Don’t be cheap, mate.",
,360,CHEAP AS,cheap as,GENERAL NZ,very cheap,Those shoes were cheap as.,
,361,CHEAT,cheat|cheated|cheating,TEEN,copy answers,He cheated on the test.,
,362,CHECK,check|checked|checking,TEEN,look,"Check this out, bro.",
,363,CHEEKY,cheeky,GENERAL NZ,playfully rude,That was a cheeky comment.,
,364,CHEEKY AS,cheeky as,GENERAL NZ,very cheeky,He’s cheeky as today.,
,365,CHEER,cheer,GENERAL NZ,encourage,Give them a cheer as they run by.,
,366,CHEERS,cheers,GENERAL NZ,thank you,"Cheers for that, bro.",
,367,CHEERY,cheery,GENERAL NZ,happy,She’s feeling cheery.,
,368,CHEESY,cheesy,GENERAL NZ,corny,That joke was cheesy.,
,371,CHEM,chem,TEEN,chemistry class,We’ve got chem next.,
,372,CHEMISTRY,chemistry,TEEN,romantic vibe,They’ve got chemistry.,
,373,CHEW,chew|chewed|chewing,GENERAL NZ,scold,He chewed me out for disclosing his work plans.,
,374,CHICK,chick,GENERAL NZ,girl,He’s keen on that chick.,
,375,CHICKEN,chicken,GENERAL NZ,scared,"Don’t be chicken, you can ask him for a date.",
,376,CHICKENED,chickened,GENERAL NZ,got scared,He chickened out and refused to swim to the rock.,
,377,CHILL,chill|chilled|chilling,TEEN,"relax, showing no excitement ot stress.","Just chill, bro. There is nothing to worry about.",
,378,CHILL AS,chill as,TEEN,very relaxed,He’s chill as today.,
,380,CHIME,chime|chiming,TEEN,agree,I chime with that.,
,381,CHIP,chip,GENERAL NZ,french fry,"Grab a chip, mate.  I love fish and chips.",
,382,CHIPPED,chipped,GENERAL NZ,"slightly broken, small piece broken off",My mug is chipped.,
,384,CHIRP,chirp|chirped|chirping,TEEN,tease,He chirped me hard.,
,385,CHISEL,chisel|chiseled|chiseling,GENERAL NZ,steal,He chiseled my pen.,
,386,CHIT CHAT,chit chat,GENERAL NZ,small talk,We had a chit chat.,
,387,CHOCK-A-BLOCK,chock-a-block|chocka|chocker|chocking,GENERAL NZ,full to capacity,The bus was chock-a-block this morning.,
,388,CHOICE,choice,GENERAL NZ,excellent,That feed was choice.,
,389,CHOICE AS,choice as,GENERAL NZ,very excellent,"That game was choice as, best this season.",
,390,CHOKE,choke|choked|choking,TEEN,fail under pressure,He choked in the final.,
,392,CHOP,chop|chopped|chopping,GENERAL NZ,hit with side of hand,He chopped my arm.,
,393,CHOPPER,chopper,GENERAL NZ,helicopter,The chopper landed nearby.,
,394,CHOPS,chops,GENERAL NZ,skills,He’s got mad chops.,
,395,CHOSEN ONE,chosen one,TEEN,special person,He thinks he’s the chosen one.,
,396,CHOW,chow,GENERAL NZ,food,Grab some chow.,
,397,CHOW DOWN,chow down,GENERAL NZ,eat,We chowed down heaps.,
,398,CHUBBY,chubby,GENERAL NZ,slightly fat,The cat is chubby.,
,399,CHUCK,chuck|chucked|chucking,GENERAL NZ,throw,Chuck it here.,
,400,CHUCK UP,chuck up,GENERAL NZ,vomit,He chucked up after training.,
,401,CHUFFED,chuffed,GENERAL NZ,pleased,I’m chuffed with that.,
